id,text,created_at
1036997663382753283,"RT @RxHoy: Las medicinas son caras. Visita https://t.co/b7dy3Rrzsi para empezar a ahorrar ya. HoyRX, la nueva forma de comprar medicinas a…",2018-09-04 15:21:24
1201653227911106560,RT @Berti_and_Ernie: #Luck and #Love are only words but if I watch him smile they get a meaning. https://t.co/wm1wP27ehs,2019-12-03 00:03:49
1202041994668851200,T1 You usually don't find out your choice is an illusion until you're force to choose between a procedure and feeding your family. #hcldr,2019-12-04 01:48:39
1207087028916998144,Animal Advocates Say Dallas Turning Blind Eye To Dog Fighting https://t.co/OglEKwqr39,2019-12-17 23:55:48
1208975570937270273,Blessing your timeline with your cuteness. https://t.co/BnkSvDRI67,2019-12-23 05:00:12
1203352644246556672,"RT @SpeakerPelosi: Next week, House Democrats will pass historic legislation to lower prescription drug prices and deliver the most transfo…",2019-12-07 16:36:42
1201664378560495616,RT @RepGosar: Always enjoy talking with America’s veterans. This morning in Prescott we discussed ways to improve healthcare for our vetera…,2019-12-03 00:48:08
1211701455444488192,"RT @Liz_Wheeler: So lemme get this straight.

An evil man opens fire in church.

Two concealed carry permit holders engage him.

One dies p…",2019-12-30 17:31:53
1204594392226500608,Boris Johnson said patients should be charged to use NHS services https://t.co/H6NkfoGcrm #VoteLabourDec12 #VoteNotTory #JC4PM,2019-12-11 02:50:58
1166002627450232832,@jaysays We hate to hear that! I sincerely apologize that you didn't have a positive experience with Blink. We valu… https://t.co/UjaNXNoIWB,2019-08-26 15:01:04
1205167346723278849,Congrats to @angelman and @TheMyositisAssc our fellow innovation awardees! Your projects sound amazing! https://t.co/dRHRrA0AHB,2019-12-12 16:47:41
1210339235087171584,Have a sparkling evening 🎄🥂❤️ Champagne &amp; cannabis ❇️ 💫 https://t.co/S1FuMf8f1Y,2019-12-26 23:18:55
1211043118478290944,"@BernieSanders Come #FeelTheBern with us people! It ignites hope and renews both body and soul.
🔥🔥🔥🧙‍♂️🔥🔥🔥",2019-12-28 21:55:54
1209909383913779206,"Vandy Twitter, this is my gift to you...a Commodore decade in photos. 

These are mostly in chronological order and… https://t.co/xmo95SXTRz",2019-12-25 18:50:50
1202068235769634816,"You'd think if you were trying to bust myths about #MedicinalCannabis, you would avoid taglines that include the wo… https://t.co/B2Hmv9qsD1",2019-12-04 03:32:55
1208033005035409408,#fresh #beautiful New Stainless Steel Hip Liquor Whiskey Alcohol Flask 5/6/7/8/9/10oz Wine Bottle Protable Mini Hip… https://t.co/yQX3TdGNnO,2019-12-20 14:34:47
1201548272759787521,@kcranews Don't give the pricks the satisfaction.,2019-12-02 17:06:46
1205318773517017088,"RT @JoeDRN: @TheRealDoctorT It is heartbreaking that you are cuffed by the system's inefficiency. You suffer, the patients suffer more. You…",2019-12-13 02:49:24
1208777357319983104,"“A reward is available for tips that result in arrests.

If you have any information in this case, call 812-837-953… https://t.co/yR4RWHhEjE",2019-12-22 15:52:34
1202001983294578688,Give the gift of reading and comprehension. Help give someone a future! #GivingTuesday #lindamoodbell… https://t.co/8voKet6H7U,2019-12-03 23:09:39
1207990597237137408,"RT @Jim_Hickman13: I love the United States of America &amp; my President, @realDonaldTrump, served almost three decades &amp; proudly fought in tw…",2019-12-20 11:46:16
1204182370158555137,@jeffreyabennett not to mention this would impact @AmDiabetesAssn bottom line and other supposed diabetes non profi… https://t.co/hqdQLCyvCI,2019-12-09 23:33:44
1207898176595709958,"RT @Franklin_Graham: “Turn to me and be saved, all the ends of the earth!  For I am God, and there is no other.” (Isaiah 45:22)",2019-12-20 05:39:01
1202718266361139200,"When I asked $BIIB for comment on this, a co spokesperson said that audience members submitted questions online and… https://t.co/4dHSDvN1Er",2019-12-05 22:35:54
1208755334162071552,Knowing the signs - whether you see them in yourself or a loved one - is critical for intervention and prevention.… https://t.co/4rVrKbNU7C,2019-12-22 14:25:03
1203678951840739328,They didn't make this money by providing health care https://t.co/gFcMhPfTZm,2019-12-08 14:13:20
1205179844562022400,"There really is no debate. If you don't believe in fair elections and want to turn America into Russia, you'll go o… https://t.co/Cx9Q7Z6Vbw",2019-12-12 17:37:20
1202411384559919104,"@NBCNews Hey maga lovers...enjoying your ""non-controlling"" government still? They've lowered taxes for the wealthy,… https://t.co/WrMqNx105i",2019-12-05 02:16:28
1208274414216761344,"Bill passes moving CalPERS, CalSTRS closer to divesting Turkish investments https://t.co/RWke7hH5Jz",2019-12-21 06:34:03
1211103265791889410,"RT @confusedophan: fun fact: microwaves are actually what happens inside of the machine that heats your food, the machine itself is called…",2019-12-29 01:54:54
